country_code,city_code,city_name,time_zone
US,SUN,Sun Valley,America/Boise
US,NIB,Nikolai,America/Anchorage
US,FRM,Fairmont,America/Chicago
US,BRD,Brainerd,America/Chicago
US,PDT,Pendleton,America/Los_Angeles
US,FWL,Farewell,America/Anchorage
US,ALI,Alice,America/Chicago
US,AUS,Austin,America/Chicago
US,HIE,Whitefield,America/New_York
US,SIY,Montague,America/Los_Angeles
US,EGV,Eagle River,America/Chicago
US,TSM,Taos,America/Denver
US,ESO,Espanola,America/Denver
US,BDX,Broadus,America/Denver
US,HSI,Hastings,America/Chicago
US,UNU,Juneau,America/Chicago
US,HNC,Hatteras,America/New_York
US,AEX,Alexandria,America/Chicago
US,LSE,La Crosse,America/Chicago
US,TOC,Toccoa,America/New_York
US,TRM,Thermal,America/Los_Angeles
US,HZL,Hazleton,America/New_York
US,MEJ,Meadville,America/New_York
US,UBS,Columbus,America/Chicago
US,ILL,Willmar,America/Chicago
US,EAU,Eau Claire,America/Chicago
US,BCB,Blacksburg,America/New_York
US,CAE,Columbia,America/New_York
US,ASH,Nashua,America/New_York
US,GNG,Gooding,America/Boise
US,BYW,Blakely Island,America/Los_Angeles
US,MQW,Mc Rae,America/New_York
US,AKO,Akron,America/Denver
US,PHL,Philadelphia,America/New_York
US,BJC,Broomfield,America/Denver
US,ONT,Ontario,America/Los_Angeles
US,TCL,Tuscaloosa,America/Chicago
US,ARV,Minocqua,America/Chicago
US,HTS,Huntington,America/New_York
US,NRC,Crows Landing,America/Los_Angeles
US,GXY,Greeley,America/Denver
US,FBS,Friday Harbor,America/Los_Angeles
US,SDX,Sedona,America/Phoenix
US,PHK,Pahokee,America/New_York
US,NSL,Slayton,America/Chicago
US,FTW,Fort Worth,America/Chicago
US,ECG,Elizabeth City,America/New_York
US,DTA,Delta,America/Denver
US,AIY,Atlantic City,America/New_York
US,CNO,Chino,America/Los_Angeles
US,HTV,Huntsville,America/Chicago
US,PTL,Port Armstrong,America/Anchorage
US,SYB,Seal Bay,America/Anchorage
US,NOT,Novato,America/Los_Angeles
US,NLE,Niles,America/Detroit
US,MKT,Mankato,America/Chicago
US,RFG,Refugio,America/Chicago
US,LEW,Lewiston,America/New_York
US,PAQ,Palmer,America/Anchorage
US,PYS,Paradise,America/Los_Angeles
US,LRK,Lincoln Rock,America/Sitka
US,TRX,Trenton,America/Chicago
US,GUY,Guymon,America/Chicago
US,PRW,Prentice,America/Chicago
US,CHS,Charleston,America/New_York
US,DEC,Decatur,America/Chicago
US,MIV,Millville,America/New_York
US,BXS,Borrego Springs,America/Los_Angeles
US,PSP,Palm Springs,America/Los_Angeles
US,BYS,Fort Irwin,America/Los_Angeles
US,RWL,Rawlins,America/Denver
US,RUI,Ruidoso,America/Denver
US,AHF,Arapahoe,America/Chicago
US,HFF,Hoffman,America/New_York
US,KLN,Larsen Bay,America/Anchorage
US,HMT,Hemet,America/Los_Angeles
US,TYE,Tyonek,America/Anchorage
US,ORT,Northway,America/Anchorage
US,BPI,Big Piney,America/Denver
US,PVU,Provo,America/Denver
US,NVN,Beckwourth,America/Los_Angeles
